name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
UÇK,,,memorial,,,,,POINT (20.6719027 42.2914658)
Вера Јоциќ,,,monument,,Vera Jocik,Вера Јоциќ,,POINT (21.4283664 42.0016804)
NATO,,,memorial,,,,,POINT (20.744052 42.2172338)
,,,monument,,,,,POINT (20.5275107 41.5227668)
Muzeu i Qytetit,,museum,,,Museum of Suhareka,,,POINT (20.8221602 42.3539569)
Марко Мрњавчевиќ,,,monument,,Marko Mrnjavchevikj,Марко Мрњавчевиќ,,POINT (21.5532375 41.3455416)
Круме Кепески,,,monument,,,,,POINT (21.5505634 41.3450704)
Блаже Конески,,,monument,,,,,POINT (21.5506707 41.3451329)
Марко Цепенков,,,monument,,,,,POINT (21.5505581 41.3451792)
Китино Кале,,attraction,castle,,Kita Castle,Китино Кале,,POINT (20.9663459 41.5130946)
Шуплив Камен,,,boundary_stone,,,,,POINT (22.3602199 42.3110963)
1a,,,boundary_stone,,,,,POINT (22.9282524 41.3413087)
Raman & Arsim home,,,memorial,,,,,POINT (20.7345989 42.2218436)
Siprint,library,,,,,,,POINT (20.7389588 42.2078028)
,library,,,,,,,POINT (20.6340519 42.3201642)
Ish Kisha Paleokristiane,,,archaeological_site,,,,,POINT (21.1753465 42.3501661)
Lokalitet arkeologjik në Nerodimen e Ulët,,,archaeological_site,,,,,POINT (21.0947288 42.3670346)
Lokalitet arkeologjik në Paldenicë,,,archaeological_site,,,,,POINT (21.2890417 42.1594768)
Nekropoli i Tumulave të Rogovës,,,archaeological_site,,,,,POINT (20.5742633 42.3320228)
Shtatorja e Adem Jasharit,,,memorial,,,,,POINT (20.654165 42.0620592)
Паметник на убити от бандата на Георги Михов Димитров (ГЕМЕТО).,,,monument,,,,,POINT (22.6210684 42.1876409)
Ботун,,,memorial,,,,,POINT (20.7836677 41.2788101)
Споменик на слободата,,,monument,,Monument of freedom,,,POINT (22.5006786 41.158263)
Kisha e Shën Nikollës Tutiqëve,place_of_worship,attraction,yes,,Saint Nicholas Church,,,POINT (20.7394212 42.2082531)
Kisha e Nikollës së Shenjtë,place_of_worship,,,,,,christian,POINT (21.0725328 42.2474626)
Kalaja e Qikes,,,castle,,Girl's fortress,,,POINT (20.7619431 42.199364)
Црква Свете Недеље,place_of_worship,attraction,yes,,St. Nedelja Church,,christian,POINT (20.7434407 42.2094939)
Violeta Manushi,,,monument,,,Виолета Мануши,,POINT (20.7203718 40.9007363)
,,,monument,,Haji Balaban Masjid,,,POINT (21.4368762 42.0048505)
Борецот,,,monument,,,,,POINT (21.5025867 41.3738524)
,,,monument,,,,,POINT (21.5642947 41.3983937)
,,,wayside_shrine,,,,christian,POINT (20.6763098 41.7430936)
,,,monument,,,,,POINT (20.6621456 42.3603452)
